"","Rank","Name","Platform","Total_Shipped","Critic_Score","Year"
"1949",1949,"Shenmue","DC",1.2,8.9,2000
"1951",1951,"Sonic and the Black Knight","Wii",1.2,4.8,2009
"1959",1959,"God of War: Ghost of Sparta","PSP",1.2,8.3,2010
"1982",1982,"Donkey Konga","GC",1.18,7.3,2004
"1983",1983,"Final Fantasy Tactics Advance","GBA",1.18,8.9,2003
"1985",1985,"Mystery Case Files: MillionHeir","DS",1.18,7.4,2008
"2015",2015,"Jet Force Gemini","N64",1.16,8.1,1999
"2016",2016,"Mario Power Tennis","GC",1.16,8.1,2004
"2018",2018,"Pokken Tournament DX","NS",1.16,8,2017
"2020",2020,"World of Warcraft","PC",1.16,9.2,2004
